instance,status,variables,clauses,conflicts,decisions,propagations,memory_mb,cpu_time_s
46b70d0c89444f913e8c060c6839f8ee-okgen-c1625-v250-s882959944-882959944,UNSATISFIABLE,250,1625,1878,2221,65577,10.91,0.014033
2ab1deabc049d87c7ff5f15abc759c17-bench_17122.smt2,UNSATISFIABLE,5560,16873,2899,7182,230433,13.2,0.046264
ef9d74ffd5b3e21ca700db3cff192286-fdmus_b17_420,UNSATISFIABLE,3147,8580,9527,14715,1120720,12.12,0.180976
964ab48f75116ee48aa6331ed11d1180-fla-komb-320-1,SATISFIABLE,320,1665,24051,29705,1105579,10.91,0.207468
dcdcc8a6cd425911a07a589c8d222eee-unif-k7-r86.674-v140-c12134-S2736531722493442053,TIMEOUT,140,12134,1833596,2265098,32148144,30.15,59.9624
98671c77e668b2bb23eba222f6ecc179-unif-k6-r40.0-v400-c16000-S6565292699213089250,TIMEOUT,400,16000,1367259,1978691,55218593,53.4,59.966
03b75ba4f3a1bdcc58c89e6846eecaab-x2_128.shuffled-as.sat03-1598,TIMEOUT,382,1018,13633185,22903730,156461632,17.55,59.9883
3f99e9fa2ed239531ed55e058e875250-unif-k3-r4.2-v10000-c42000-S21800963-085,TIMEOUT,10000,42000,479678,1377056,245924691,165.58,59.6597
4afc0b202169999e04845dcffae3750e-REGRandom-K3-L1-Seed30.sanitized,UNSATISFIABLE,896,29536,35118,119610,538748,18.68,0.318711
635d48bbba58092ac46fa00ef5881458-mp1-ps_5000_21250_3_0_0.8_0_1.60_4,TIMEOUT,5000,21250,1152513,1385283,253340097,31.52,59.9427
9a0e6e700381903bfa995f6a55665f46-f1000,TIMEOUT,1000,4250,2309368,3135338,252498829,23.07,59.9661
1b0780e82e41f6ca9c6c2f37b5350789-mod2c-rand3bip-sat-220-1.shuffled-as.sat05-2488,SATISFIABLE,311,2216,1877311,2398225,103911538,11.04,27.3239
01cf0326d2ab46b71fe4e2eac97b2b18-MVD_ADS_S8_9_9,SATISFIABLE,32,29339,0,1,0,14.33,1.01658
633658e1c5f91005b19d99ed4ec62e8a-glassyb-v399-s500582891,TIMEOUT,399,1861,4065526,5161682,243008645,14.7,59.985
f8b2044c0543c9272bccad136e84a7c2-unif-k3-r4.2-v12000-c50400-S2070759512-014,TIMEOUT,12000,50400,451277,1470270,262194030,164.66,59.6721
991d3b46599bb896d72569536d2b54fc-pbl-00400.shuffled-as.sat05-1332.shuffled-as.sat05-1332,UNSATISFIABLE,1497,73369,0,0,68,27.11,1.11251
94f49c93e2555d7c8e0cb8e87f58cc70-randomG-Mix-n15-d05,TIMEOUT,291,365,7813092,9655779,176957758,10.91,59.9849
58e0ab22764e0430561cb6ad71017182-bench_2931.smt2,UNSATISFIABLE,4704,15945,2260,7064,141015,12.71,0.033888
7331d4888353636bdf494f8533670351-x9-02012.sat.sanitized,SATISFIABLE,100,898,12,27,468,10.91,0.001339
5481abf46acb8b750ba0fc041d84f95d-iso-ukn008.shuffled-as.sat05-3389,UNSATISFIABLE,2686,10010,741,2369,41077,11.92,0.023953
d3a03e118315f298d3855d7b5418bf3e-satellite1_v01a.renamed-as.sat05-3985,SATISFIABLE,158,3086,0,10,129,11.04,0.004741
b2de36f330b43cb7025d8d79b9f1ab8d-lksat-n1100-m4103-k3-l5-s558351420.used-as.sat04-934,SATISFIABLE,1100,4103,53595,72556,6091377,11.36,0.962197
c4f1ec6bf06036cf5f7c0082c4b837d7-unif-c1750-v350-s173829402,UNSATISFIABLE,350,1750,2555827,3105430,129640903,10.91,30.9583
871c9014847dc91b8d24b79379a7edc8-4col180_9_10.shuffled,TIMEOUT,360,3206,4204944,8465036,183696990,16.77,59.9608
3219f951c5206f0d683d626d17775639-dp10u09.shuffled,UNSATISFIABLE,7611,19394,454729,570983,103051509,15.24,17.9755
f561c52b987bdb9031a477864070b759-Ptn-7824-b18,TIMEOUT,3692,13727,1381367,1783458,255084368,26.02,59.9072
f5b54c805c05aef5ba0d94b6edea2a1a-bench_2101.smt2,TIMEOUT,25148,81932,653408,1074825,313896417,80.88,59.92
81f7f03390c10bd8dcc87a06006557e7-unif-k3-r4.2-v4000-c16800-S906020180-093,TIMEOUT,4000,16800,845732,1625732,235319108,90.38,59.9031
3335cc3022da379e61908f4509b74149-x9-06043.sat.sanitized,SATISFIABLE,300,2702,25364,33279,1891057,11.05,0.389087
179cf31ecc2687a2820c697ed264d1e1-x9-05030.sat.sanitized,SATISFIABLE,250,2247,7653,10001,489734,10.91,0.094805
bf31eea5a8b87410f1fb83064e2cb82e-dlx1c.ucl.sat.chaff.4.1.bryant,UNSATISFIABLE,15538,43397,764,2369,148153,16.14,0.048691
fe452b79d2f0d74c28e51a1db382acf3-myciel6-c.used-as.sat04-318,TIMEOUT,285,4211,6627098,18222199,171400991,14.84,59.9843
e29dc4a2b111badf8eadc9e3f96ae8e4-x1.1_128.shuffled-as.sat03-1579,TIMEOUT,382,1018,13544966,22530546,162634232,17.71,59.9515
29a645e2ba434c6927850fd18b80e703-unif-k3-r4.26-v6200-c26412-S8943217569806508605,TIMEOUT,6200,26412,674203,1523928,249634707,117.74,59.8063
a5507d7a8dacbc0ecd7abc8d631c266a-Steiner-27-10-bce,UNSATISFIABLE,513,459,23455,25911,629950,10.91,0.105574
eba7f569a9faed0b8e88ce3d6fa576f7-cms-scheel-md4-families-r24-c6-p1-9-13-16-18-19,TIMEOUT,29691,91670,2095293,8969272,178648651,131.87,59.8674
9291297fd2cc22371f6e6512ead12f0e-unif-k4-r9.931-v190-c1887-S3697192526635500631,TIMEOUT,190,1887,4577990,5572099,137140283,13.9,59.9488
f70f5cf7d19de940a74614b664639680-unif-k7-r85.558-v180-c15400-S7182581352251840955,TIMEOUT,180,15400,1618004,2064139,33844464,40.32,59.9449
5423c5883b9ae3cd50cfa3e994d1cb6a-unif-k7-r86.395-v150-c12959-S2466261618637171324,TIMEOUT,150,12959,1734033,2156350,31912865,38.91,59.9609
99e0a9b26bd19223b7cc7d60ee179565-gensys-ukn002.sat05-2744.reshuffled-07,UNSATISFIABLE,2129,8752,2029263,3641779,72448480,15.61,43.8121
b36573b9071ea347553b7403744ed050-connm-ue-csp-sat-n1200-d0.02-s1280749859.shuffled-as.sat05-537,TIMEOUT,1164,14547,1312216,1604462,176152788,33.28,59.9534
0fa9521ff633b27be11525a7b0f7d8b6-jgiraldezlevy.2200.9086.08.40.41,TIMEOUT,2200,9086,1436483,2195377,324106537,20.72,59.9783
4e6ed02919858555623b578af7bb9ce5-Steiner-135-33-bce,TIMEOUT,14040,9710,1938458,2512528,343687592,37.34,59.926
4beaed3895a6e4992121e4c80765409d-fla-barthel-280-5,SATISFIABLE,280,1203,321866,391710,15128671,10.91,2.95124
807e1775a113b5155e65d7c74c169586-unif-k4-r9.0-v10000-c90000-S9040862594588113796,TIMEOUT,10000,90000,335254,1923936,151138426,388.39,59.575
9d63d9bc2adce081243ec7364c28852c-okgen-c2275-v650-s1568114015-1568114015,SATISFIABLE,650,2275,224,613,19735,11.05,0.002526
b4e25a313635193d4b1cff8ea5d0b532-unif-k3-r4.2-v15000-c63000-S43885340-006-UNKNOWN,TIMEOUT,15000,63000,372727,1443572,252308364,166.65,59.6891
de99d9957f8585fad26fb5bcb9fbdfa8-unif-k3-r4.26-v500-c2130-S1514125851-037.UNKNOWN,TIMEOUT,500,2130,3659643,4611498,252368116,14.23,59.9865
52b72b1da10485792641dc2caae8298c-mp1-rubikcube912,TIMEOUT,3090,59850,1058434,1190626,321399349,32.16,59.8848
747121b2e654aefa37b4e676c548ce46-5col140_15_2.shuffled,TIMEOUT,420,5572,2615619,3330862,158896633,19.89,59.9793
2752040c83e0246c6d3151dbfe5f825a-fdmus_b17_885,UNSATISFIABLE,6858,19228,5703,11612,1260937,13.64,0.1679
0b5c4ba260d2c27eee349128cdfc409a-fdmus_b20_496,UNSATISFIABLE,4851,13257,14223,46334,1063624,12.91,0.16558
0d4c02bd7cc67d2976ff389d61c5d5c4-unif-k7-r87.79-v76-c6672-S2403854797301736147,TIMEOUT,76,6672,2682220,3077448,30277465,20.29,59.9666
f15ad4206d95a3f8f1358b33301539be-ER_400_20_7.apx_1_DC-AD,TIMEOUT,802,48037,388625,634724,28487788,44.18,59.9595
bd1a879dcaa2879d739f2764db8bf862-edges-072-3-1131111-37,TIMEOUT,216,285,11334280,14306318,309722828,10.91,59.9742
a497d784c61c330f012dcd80d44dcd43-x9-06099.sat.sanitized,SATISFIABLE,300,2698,17437,23068,1271006,11.05,0.262481
87e795955bbc4a04fe0c0937f6dd10df-okgen-c1075-v250-s2140473829-2140473829,UNSATISFIABLE,250,1075,334208,403241,14419572,10.91,2.83447
06a36581f14e399a76a5110449ebe739-driverlog2_v01a.renamed-as.sat05-3961,SATISFIABLE,642,12762,4,75,441,11.72,0.014643
979ba270311b77fc504f8f3624aab446-fdmus_b20_495,UNSATISFIABLE,3672,10035,10329,28590,686368,12.3,0.113013
1c99d793a03acb23556a90aff28cf09d-gencnf-k5-r21.5-v170-c3655-09-S224660259.used-as.sat04-209,TIMEOUT,170,3655,3232176,3968251,78521195,17.97,59.9856
8f76a9b81bca0594b1747d53a93ee001-grid-pbl-0090.shuffled-as.sat05-1336.shuffled-as.sat05-1336,SATISFIABLE,8190,16109,0,1,2,13.41,0.019394
95cb180e184785166dc6d7d5faad2129-bench_7680.smt2,UNSATISFIABLE,5703,19174,2238,6305,110325,13.41,0.036116
2dd79829405516b6add235e8fc4732b8-battleship-20-39-sat,TIMEOUT,780,7810,1044749,3700625,32795382,87.52,59.9324
a8c6f24ce9bc4ae6953763a82835e2d4-quad_res_r31_m35,TIMEOUT,6843,30671,605415,938616,302714567,47.36,59.9235
e7aa009db80777c6c44d6350b6413766-unif-k5-r20-v1000-c20000-S883282443-030-UNKNOWN,TIMEOUT,1000,20000,1012571,1804903,84397305,93.38,59.9133
03f25e67e52baf9fb1e782026d46c8a8-rope_0003.shuffled,UNSATISFIABLE,108,252,996,1622,16757,10.91,0.00444
47176c4c5b3c5f77458fe34bbe7d0e1f-bench_1286.smt2,SATISFIABLE,28489,94311,478567,809046,231809368,90.37,45.1406
82cb198416182bef497b6811610382eb-unif-k5-r21.117-v520-c10981-S5055729529807579867,TIMEOUT,520,10981,1526473,2247422,80736102,39.09,59.967
2ecd4f44785061feffd8316600972a4f-par32-3.shuffled,TIMEOUT,3176,9809,1859060,2002387,351808369,14.61,59.9878
bc0d3f3aad73eb09e12c009d2bdebf29-pyhala-braun-unsat-40-4-01.shuffled-as.sat05-465,TIMEOUT,9638,31583,591321,713624,241221573,37.85,59.9464
7e621d817ef34e61e26881fd64a63a59-unif2p-p0.9-v810-c2932-S1014417748-14-SAT,TIMEOUT,810,2931,2737959,3487743,280350509,15.17,59.9748
62727a63ba5fbd6dd917cfcbc457897c-fdmus_b17_1282,UNSATISFIABLE,5190,14724,9759,15786,1790287,13.01,0.279768
a28838a333df067089ba6dffce36ae26-unif-c2250-v450-s1305237608,TIMEOUT,450,2250,3917848,4848138,229216409,13.91,59.9728
88a3fd31ea2cbdbe596ead8e01b6cbd9-ae_rphp035_05,TIMEOUT,2977,6728,3361707,34313246,135651835,21.79,59.9851
be718d01225f552c3fe1b4cc4cc0fe34-okgen-c800-v400-s239704342-239704342,SATISFIABLE,400,800,1,113,185,10.91,0.002069
8b267f95678c90b2179944de7233b090-ER_500_20_4.apx_1_DC-AD,TIMEOUT,1002,76023,247706,452359,21208891,114.3,59.7721
617a627b486326ce9911ccf8487bd683-fla-qhid-520-2,SATISFIABLE,520,2860,32344,42502,2199818,11.04,0.393513
daab69799b673289324062e37292291c-size_5_5_5_i101_r12,TIMEOUT,3220,12314,2037315,2949181,272786651,32.79,59.9591
e95967fb3609db741a2c7d76fd533bb8-battleship-30-30-unsat,TIMEOUT,900,13950,975971,2159152,76748984,127.08,59.9098
d702aa8568706efda8308ef8d24f907b-div-mitern167,TIMEOUT,5058,21612,844676,1153610,381036429,40.02,59.9333
db738f3827fdffc7369d30feefce3881-fdmus_b17_1419,UNSATISFIABLE,7005,19904,579,1103,221394,13.66,0.049353
0cfa26ef0faf8c67b56e77ad2ab0b18e-unif-k7-r89-v75-c6675-S1572638390-17.SAT.shuffled,TIMEOUT,75,6675,2701497,3092824,30216888,19.53,59.9678
0fa8623240b5c14c1308f863a6dc88ab-urqh1c5x5.shuffled-as.sat03-1468.cnf.mis-103.debugged,TIMEOUT,13313,26662,1678852,2092393,324158831,21.09,59.9698
ff341211c03edd1a3b4bfef43fd0d52b-x9-05053.sat.sanitized,UNSATISFIABLE,250,2251,9312,11850,607752,10.91,0.119996
b7320661e48ee8451f6a849713aaa956-bench_2265.smt2,UNSATISFIABLE,6488,22100,2139,7388,163607,13.57,0.047615
54de5c35ecdf50c0425ecad01f21de34-1dlx_c_bp_u_f_liveness,UNSATISFIABLE,6874,65478,71735,179767,14519504,26.46,2.47085
b0278333544e099cebf9f3c25b4d23b7-unif-k4-r9.931-v1600-c15890-S319433948686066525,TIMEOUT,1600,15890,1056544,1905080,135504037,78.66,59.9096
8358ba996a456ec0792840510fd04b97-edges-070-3-1226111-26,TIMEOUT,210,277,11797119,14739779,300196761,10.91,59.9929
f87ea979e16eeb6c71d859692d7b9198-bench_8051.smt2,UNSATISFIABLE,5698,19211,1851,5659,84606,13.55,0.03337
bf846aae6ae8ec56744c94d896ec95ca-fdmus_b17_1456,UNSATISFIABLE,8379,23916,345,1230,172514,14.24,0.050474
41fcb7dd9e7b08b6e5b10a697f2c60ef-too_large_gr_rcs_w7.shuffled,SATISFIABLE,3633,50373,165,998,35796,15.88,0.064599
566fa7782f1c31dd049b980626ea004c-hidden-k3-s1-r5-n500-02-S2015275929.shuffled-as.sat03-1006,TIMEOUT,500,2500,3544400,4434081,234758781,14.81,59.9817
48d6e3b1d836716fb128fbb4c7ff641a-unif-k5-r21.117-v200-c4223-S7017654974457002230,TIMEOUT,200,4223,2907835,3628863,79582751,18.95,59.9807
b020f6cb457c581684dbd1ffedde5e6c-unif-k4-r9.425-v5800-c54665-S9165834819240214914,TIMEOUT,5800,54665,465037,1690753,144155628,164.11,59.5448
445f835be7805993f89cc2b6f3bea065-integerOverflow.smt2,TIMEOUT,18777,57252,385278,722496,429094457,55.79,59.8911
ae523b2c9d806713cb6c36994299ac78-unif-c600-v300-s344542280,SATISFIABLE,300,600,0,87,140,10.91,0.000793
a5d12bcc4c45fc9216c490ae7e53a8f8-unif-k3-r4.267-v7600-c32429-S892076904192638253,TIMEOUT,7600,32429,566061,1375584,239065574,148.91,59.6293
e7ad7fb2d01cb89f97ecb7a48c00c7f0-unif-k5-r21.3-v150-c3195-S1787844685-006.SATISFIABLE,TIMEOUT,150,3195,3574704,4322394,80063021,16.62,59.9306
bfb93ac1e966c116b1556cefe078f304-unif-k5-r21.3-v90-c1917-S122462268-047,TIMEOUT,90,1917,5107320,5905537,79860847,11.64,59.9708
7cbc3ce2052ba7c5b501f75af58ab3c4-simon-r22-1.sanitized,TIMEOUT,3648,12032,555264,636694,294997006,23.77,59.9631
bfdd967f2afa50c14b6f4fb44ca5ae3c-okgen-c1700-v400-s1234807503-1234807503,TIMEOUT,400,1700,4214516,5224067,243982252,12.91,59.9765
94e63156ee9c68668411a93e68aa2518-Schur_161_5_d29,TIMEOUT,766,28562,781859,1105527,43457028,62.53,59.9144
0944b0d12376e0b6bfe0355ffcbdfcc1-x9-09050.sat.sanitized,SATISFIABLE,450,4049,1616437,2077517,156270859,14.89,50.7225
5870c16f10356ce392aed8ef91f078e6-ccp-s10-facto3,TIMEOUT,1470,48370,2872451,35767035,193186555,115.7,59.8818
74757d192dcf6744a4abcb17594d7cac-glassy-v450-s1878038564,TIMEOUT,450,2100,3740985,4770394,233255558,16.04,59.8908
eb8a05f11e4720d801e213c3648f8bba-ctl_3791_556_unsat_pre,TIMEOUT,8806,83608,1269485,1505196,211515958,67.0,59.9047
1101f973bea6c31e86e361302b5131d0-unif-k4-r9.931-v1850-c18372-S7254399457290688678,TIMEOUT,1850,18372,1007066,1934335,142813649,93.22,59.8434
e563b4d7331c6b9b9f89f7f6cd911c3f-bench_5298.smt2,TIMEOUT,14605,47449,793843,1177886,321920171,45.51,59.9329
ed43e826d8a6671a7de4ea76b24a6f05-16_0,TIMEOUT,2688,8768,1046240,1196741,235413085,19.06,59.9701
564a2942029759a5ddea6f06a9db3184-5col120_15_9.shuffled,TIMEOUT,360,4737,2978373,3722991,158797188,16.96,59.9566
409bda09ef5fc1e92178e604b1a96d90-unif-c1500-v300-s10595514,UNSATISFIABLE,300,1500,233737,281222,10199811,10.91,2.35415
a332ec7c6d1507aee7cb8c3baaba397f-unif-k3-r4.2-v10000-c42000-S1618450766-063,TIMEOUT,10000,42000,474133,1362838,242570507,116.75,59.6826
98f33b551cef3d5b8c0a76ead20abe58-bench_1134.smt2,TIMEOUT,25148,84103,675291,1164528,305208645,88.13,59.8939
4be9f08fb7ff50aa1aa859feb3eb0573-hgen8-n320-02-S1127428711.shuffled-as.sat05-484,TIMEOUT,320,489,7709556,10764081,218178339,10.91,59.99
f4681f0e697cc9a8006c4a438296a609-unif-k3-r4.2-v20000-c84000-S1778371838-017-UNKNOWN,TIMEOUT,20000,84000,303070,1440755,250416454,247.65,59.7097
1666f67990d14dcc532a922f75236a5e-unif-k3-r4.261-v650-c2769-S1470952774-07.SAT.shuffled,TIMEOUT,650,2769,3041520,3944996,251309021,17.82,59.9485
759a92376b5af1d691f79abe1e49bac4-glassybp-v699-s1749191955,TIMEOUT,699,3262,2781144,3705680,239225101,18.59,59.9362
2cf0b2b42bb4e0ebdf410478d028d57a-frg1mul.miter.shuffled-as.sat03-351,TIMEOUT,3230,20575,1052764,1684738,292656316,36.7,59.865
c1a2018977d515a09bde7eb7da60724b-x1.1_56.shuffled-as.sat03-1584.cnf.mis-110.debugged,TIMEOUT,18316,36359,1242567,1619381,294303773,32.25,59.9448
19512d265fa0a7db5b0dd57b40b4ecd7-fdmus_b17_1460,UNSATISFIABLE,9168,26203,355,827,194973,14.52,0.052464
9ebc37e4a9f24bf78be08505d5fa382f-x9-10043.sat.sanitized,SATISFIABLE,500,4499,244458,335736,25475922,11.57,6.62433
4779761238af5f645113fec22dac704f-x9-02069.sat.sanitized,SATISFIABLE,100,899,69,90,2606,10.91,0.002103
58041b4de90c098503299d490aeb80e5-clus-1200-4919-10-10-002.shuffled-as.sat03-1091,SATISFIABLE,1200,4919,215068,345644,8319913,11.45,1.92293
c90bdc7b427635262af4e3e5e4c5371d-par32-4-c.shuffled-as.sat03-1537,TIMEOUT,1333,5326,1886278,2039161,337236905,12.86,59.9908
2211fe3d1e402a20d0c8845f3442dbe0-bench_10309.smt2,UNSATISFIABLE,4655,15767,3389,8888,167327,12.71,0.043292
cf02c4880c4d74ee7141a2bee6e9d007-fdmus_b14_202,UNSATISFIABLE,3210,8739,12887,27790,994399,12.2,0.154985
3aef3d8d02941ba7ddb18adc128259ae-php12e12,TIMEOUT,156,937,5682421,7144144,96684344,12.55,59.9947
ba197debd67879ee2ff8ecdf2d9de3ff-bench_2909.smt2,UNSATISFIABLE,4902,16796,2840,8973,147296,12.89,0.036369
ba48dbb9c9c8b1e5d2c67bb8d0fb597a-170105744,TIMEOUT,320,1120,4630623,5812769,248981073,12.36,59.9587
46ff8c74592f5ac9a6ab36f82ec02bc0-fixedbandwidth-eq-42_shuffled,TIMEOUT,169,685,10270807,14175153,203216600,11.18,59.9898
e7ddfa6838137e173f764afa8df65e3e-pyhala-braun-unsat-35-4-04.shuffled-as.sat03-1544,TIMEOUT,7383,24092,661374,774270,262700423,29.98,59.9757
646f377741c9b65ee448e2f99575bc26-unif-k7-r89-v70-c6230-S1482824652-097,TIMEOUT,70,6230,2734528,3113496,29150414,20.49,59.9922
dca8b87e47383184a64a905877a08f3f-unif-k5-r21.117-v305-c6441-S1324067639907379270,TIMEOUT,305,6441,2149987,2860432,78277344,23.87,59.9328
ea833fbe7ac33e03ab709d9a8cfd657e-unif-k3-r4.26-v400-c1704-S823305148-084.SATISFIABLE,TIMEOUT,400,1704,4124256,5105047,245085001,12.47,59.9873
06ab2f3544c15dad7b9e4bfbce9982cf-unif-k5-r21.3-v130-c2769-S1284937235-05.SAT.shuffled,TIMEOUT,130,2769,3888468,4648206,78826421,14.52,59.9855
d1067bf4400dce713098391826addcf5-gencnf-k6-r44.3-v140-c6202-02-S1773449491.used-as.sat04-232,TIMEOUT,140,6202,2516167,3044242,48072883,24.23,59.9753
e0560dad54a9f26a169e2f8ae3b82c06-unif-k5-r21.117-v470-c9925-S3861407635422855456,TIMEOUT,470,9925,1620386,2319994,79785838,40.04,59.9673
6b84cd6f1b61f752b8554df2d451fcda-fla-qhid-240-5,SATISFIABLE,240,1320,1004,1357,41440,10.91,0.007838
58f84f6c251ccd740db4ec1be7d5fddd-unif-k6-r43.033-v220-c9467-S8789579438751187184,TIMEOUT,220,9467,1861806,2416307,48892759,33.66,59.9664
af54a7f0a6518dc694730f099b5b078a-unif-k3-r4.267-v12400-c52911-S5088269682410843460,TIMEOUT,12400,52911,448730,1473219,265510350,158.58,59.7091
200ae2e4b6e51c8302bf904f53454191-unif-k3-r4.2-v16000-c67200-S1415445307-13,TIMEOUT,16000,67200,357889,1454881,253023989,165.93,59.6936
aefd587f007bd3ed875694717482fca1-fdmus_b21_390,UNSATISFIABLE,5445,14969,32733,85981,2429497,12.98,0.416879
dd27bae8729479645ff9519fbe2cfbaf-bench_3089.smt2,SATISFIABLE,26642,89619,97244,201147,31224309,40.25,5.93934
6b809f280ec4aa2010f8b65dee9ba478-unif-k7-r85.837-v170-c14592-S3081661735040290091,TIMEOUT,170,14592,1581146,2004245,31845410,33.24,59.9679
0d32a070ed4b3e381b952b9f1e892fa9-glassyb-v648-s239237,TIMEOUT,648,3024,2832611,3747236,230790228,17.51,59.977
2a6bfb04f247a0790162269a5c8ec071-170059081,TIMEOUT,320,1120,4564599,5736627,245761045,12.23,59.9814
4d56f0ba29d85b7b35efbc59a8651358-unif-k7-r87.79-v138-c12115-S1894148078188953694,TIMEOUT,138,12115,1777474,2188536,30775839,30.12,59.9488
f8372a419603109022b5d76668b9756d-unif-c1680-v400-s1788263269,TIMEOUT,400,1680,4133781,5113240,247360300,12.65,59.9609
25a0278ff6689359ddbdcf5ef6c40881-unif-k7-r85-v250-c21250-S981492757-074-UNKNOWN,TIMEOUT,250,21250,1240315,1667952,32872338,60.75,59.945
f11bc18eee7bc8d4150ff0c8e5da8de3-driverlog1_v01i.renamed-as.sat05-3960,SATISFIABLE,128,493,0,1,1,10.91,0.000357
c23afc080f8ef02256897e3b7eaf1229-logistics-rotate-07t5.shuffled-as.sat05-1137,UNSATISFIABLE,2721,88112,15001,20066,1082678,16.63,0.531245
652cc8db19b8da9567e18afaa22c3d75-fphp-025-024.shuffled-as.sat05-1233,TIMEOUT,600,14125,307894,643867,5634290,93.05,59.8995
8875a9976804235c9ea08cd7b968645c-x9-04024.sat.sanitized,SATISFIABLE,200,1795,524,695,29201,10.91,0.005057
8dbccec97955083b29a08332f5103c7f-unif-c2250-v500-s1192350759,TIMEOUT,500,2250,3461642,4352523,232437828,14.33,59.9602
5834f84b270f958efd502bde4bb2bff3-fla-komb-520-5,SATISFIABLE,520,2707,1150250,1442668,74712618,12.69,18.5987
28a37990dc4b9a0db968af9dacd0f977-QG6-dead-dnd002.sat05-2713.reshuffled-07,UNSATISFIABLE,1339,6817,2052124,3453466,74883267,16.07,42.5506
7641b8707827c4547288372eb6b023c5-rovers5_v01a.renamed-as.sat05-3981,SATISFIABLE,981,25949,101,502,6409,12.55,0.055868
c3b337566e1ee83c2950e63a4b60a81f-unif-k7-r85-v140-c11900-S74035269-088,TIMEOUT,140,11900,1822093,2251178,32095357,30.26,59.9675
60135b56870ca88030e1dd175e4b7e9e-unif-k7-r85-v220-c18700-S409751023-10,TIMEOUT,220,18700,1353663,1782678,32550347,54.08,59.9369
0db5f11f4753b505a45025f3fc0ae21b-unif-k3-r4.26-v500-c2130-S840902310-084.SATISFIABLE,TIMEOUT,500,2130,3534647,4472928,246124445,14.81,59.9821
3728fe50d8038c639c2d9c84e04fe2b1-46bits_11.dimacs,TIMEOUT,689,16922,1138056,1388407,88731334,24.29,59.9536
b9356fa61bd596a198c5d98ec6212c55-bench_8612.smt2,UNSATISFIABLE,4625,15289,2223,6064,93732,12.59,0.032902
034619cf0ad20017ed9dd5f88caacae6-unif-k3-r4.2-v18000-c75600-S420719158-080,TIMEOUT,18000,75600,313769,1398642,239096185,256.72,59.7267
66ca7fc9afc9676701667b0c51d8c4f2-bv-term-small-rw_1072.smt2,TIMEOUT,8414,25425,672217,1020998,272227041,44.89,59.9479
7f0a7d37ec50ebf41b3f875623eae18b-tseitingrid7x150_shuffled,TIMEOUT,2100,8400,9772338,33181198,112325518,103.64,59.9126
9acb213a150c02cdd2131bd828e5d38a-bench_11143.smt2,UNSATISFIABLE,3122,10780,346,1107,17328,12.04,0.015974
1804398a41af93e29e1eca187fc90a24-bench_2407.smt2,UNSATISFIABLE,696,2385,25,503,1830,11.04,0.003828
e802d6cd5c566fe3dbde7084cc0e4609-Composite-032BitPrimes-1.shuffled-as.sat05-502,TIMEOUT,2111,19562,944375,1094843,246212913,20.8,59.9689
b340ef01002e540eed52bc6a82034342-unif-c800-v400-s2089783139,SATISFIABLE,400,800,0,129,200,10.91,0.000911
ac909ca2e27006f71389b6afa605f4be-randomG-B-Mix-n19-d05,TIMEOUT,580,1216,3717213,4763252,131094412,14.07,59.9478
2a3d02ee2292a0588301ec51831f7938-unif-k3-r4.25-v400-c1700-S418505498-026,TIMEOUT,400,1700,4111133,5091297,241422627,12.31,59.96
6bcecc3b979626eb2af9e558cdae429d-gencnf-k8-r180-v61-c10980-03-S1307241479.shuffled-as.sat03-1795,TIMEOUT,61,10980,2047618,2314668,18223607,22.59,59.9704
f2b0f76b312cbc4f26cb38a4e5807344-connm-ue-csp-sat-n1200-d0.04-s1346193895.used-as.sat04-977,TIMEOUT,1172,14453,1193237,1421848,180505864,31.9,59.9615
ee6e1362f60ac65bbc94ab45d263ee29-mod2-rand3bip-sat-220-3.shuffled-as.sat05-2175,SATISFIABLE,220,880,738550,812470,48153796,10.91,9.0163
965bc4f6691b2e5f7388aaa9ba68f768-SCPC-500-5,UNSATISFIABLE,500,15530,275758,416882,20004057,18.18,27.4595
9218d6273ed3439f7f829fe413946543-Urquhart-s5-b1.shuffled-as.sat03-1570,TIMEOUT,106,714,16698621,26094307,129867589,10.91,59.9186
19c6a29181bee2f3aa03bfb5c5d693d0-brent_9_0,TIMEOUT,10449,45198,1274790,2175955,269451357,74.11,59.9302
b1e632a92ed2bc54595cdbdb6541b3a7-unif-k5-r20-v800-c16000-S2109328271-14,TIMEOUT,800,16000,1124981,1817757,80318655,82.79,59.8842
84165841e176d2d6b52bfdabab3a2b5a-x9-08039.sat.sanitized,SATISFIABLE,400,3602,66846,89832,6031949,11.05,1.41267
c3cd2928665e102e88acdd311bce5265-unif-c2275-v650-s2042225625,SATISFIABLE,650,2274,642,1329,59808,11.04,0.010412
e48da2a79688c0e1efb522a640115571-3pipe,UNSATISFIABLE,2392,27501,86053,219595,12768862,18.75,1.71997
429f43bde1b1e5196bcb5f44316172d5-mp1-ps_5000_21250_3_0_0.8_0_1.50_8,TIMEOUT,5000,21250,1343934,1568150,274439385,29.51,59.9666
47dca0bbbdba818cbb8f9984fe3b27b7-bench_3090.smt2,TIMEOUT,26642,90853,606293,1022088,291984590,89.59,59.9189
05fbbab9f0baf819ed9593cca8587629-satsgi-n24himBHm28-p0-q282,SATISFIABLE,672,16824,0,374,672,12.02,0.008064
