instance,status,variables,clauses,conflicts,decisions,propagations,memory_mb,cpu_time_s
a4650fae682d61b7b9e54b7ea26bcd9b-unif-k3-r4.26-v400-c1704-S549184435-037.UNKNOWN,TIMEOUT,400,1704,4103720,5103266,240149760,13.13,59.9855
c3b9c40e8321bc16471e0e5319280dd7-unif-k3-r4.26-v550-c2343-S960198064-030.SATISFIABLE,TIMEOUT,550,2343,3313392,4215670,248124543,14.51,59.9919
69ad7473757d30d55fabab7882268483-BubbleVsPancakeSort_9_4,TIMEOUT,4195,14640,1392588,2126224,299412014,29.52,59.971
6d8dcd7d052fc65354a5aeb4679185c1-fdmus_b21_379,UNSATISFIABLE,3876,10647,15629,35884,1001026,12.3,0.178393
e40736ff7c03687dfaacce1da730d115-bf1355-662,UNSATISFIABLE,2294,7043,23,188,8170,11.75,0.009197
48eadf7f72185cdeff63995004f25eb1-eqbparrc18spwtrc18,TIMEOUT,7193,21469,779882,1102054,292751953,26.68,59.987
fed96759fadd19088e6038555d195a2f-unif-k5-r20-v750-c15000-S1207160791-083-UNKNOWN,TIMEOUT,750,15000,1254744,2015637,85823942,60.04,59.9216
73932a9e85c1685fb2e923b5381674a3-pmg-12-UNSAT.sat05-3940.reshuffled-07.cnf.mis-126.debugged,TIMEOUT,24004,47695,1385115,1968794,381601296,45.09,59.9162
f0322552344bc42d84a64d739c912684-fdmus_b17_834,UNSATISFIABLE,6765,19174,8979,15423,1974130,13.62,0.252156
64fd584c73b8be763bb81e41107aa33a-unif-k7-r85-v220-c18700-S193214747-044,TIMEOUT,220,18700,1375789,1811709,33392971,53.89,59.9555
626a60a465de2c9346618351b409622b-connm-ue-csp-sat-n600-d-0.04-s1865234776.used-as.sat04-966,SATISFIABLE,584,6626,12025,16511,1025651,11.71,0.253324
d5262ba0b0d305cdf92ca06d05a6c016-pbl-00080.shuffled-as.sat05-1315.shuffled-as.sat05-1315,SATISFIABLE,288,11601,0,1,7,12.45,0.105337
0b2011ed2094d1ed7eafb7615c484e5e-tseitingrid7x200_shuffled,TIMEOUT,2800,11200,8898753,32107168,106998166,118.32,59.9146
f3bda5fcae82cfa27460df877965eeca-jkkk-one-one-10-30-unsat,TIMEOUT,5671,37235,369578,757203,97012875,127.03,59.8423
f463f2d0d64e59ba92d2893e988e6ced-unif-c1290-v300-s1571496037,TIMEOUT,300,1290,4953947,5998305,243370096,11.12,59.9484
1fc3fe649a7986ec0d5aa721d62308d2-bench_8236.smt2,UNSATISFIABLE,3132,10820,855,2092,53528,12.02,0.019412
467c76dcf28285920cc3f592301f07a9-glassyb-v399-s1267848873,TIMEOUT,399,1862,4009898,5083281,236089402,14.74,59.9555
105d26b6bec8c767b639c345828e1fe4-unif-k7-r89-v45-c4005-S2067396253-13.UNSAT.shuffled,TIMEOUT,45,4005,3765436,4140731,29316200,14.83,59.9889
481a8926144c42398718048e16bcdb65-3col60_5_8.shuffled,UNSATISFIABLE,120,489,86,101,2956,10.91,0.002341
cb87f89578c13d544987acb5c903c9eb-fla-barthel-320-2,SATISFIABLE,320,1376,85935,107431,4625661,10.91,0.783069
389bb0a8f3568f4bd0e71771df9093c5-BubbleVsPancakeSort_7_6,TIMEOUT,3492,12535,1816565,2740757,365630877,30.58,59.9752
8acadf537a2743d7335a2fd42fc12994-tseitingrid7x140_shuffled,TIMEOUT,1960,7840,10336105,33407136,115183839,106.77,59.7434
0391a7be47a1d4f1bf2180cffea667b1-unif-k5-r21.3-v100-c2130-S2051088205-036.UNKNOWN,TIMEOUT,100,2130,4935841,5751630,83318744,13.72,59.9904
